Array Size,Array 1,Array 2,Array 3,Array 4,Array 5,Array 6,Array 7,Array 8,Array 9,Array 10
4850,482457,430259,408330,412904,415737,519474,433212,417508,451076,416079
4900,432338,415762,415768,444644,414996,555709,446677,415788,459037,437655
4950,458883,423346,434513,515647,447294,535959,444870,435857,503166,423878
5000,449239,478168,422882,453413,585704,438159,444452,427147,598863,432679
5050,424183,683167,697666,439295,473806,427575,427216,437542,442316,438131
5100,449135,453730,655590,442352,560498,505722,585145,445359,421750,497250
5150,485841,450069,477880,501894,590797,448105,674520,462221,449114,479497
5200,533178,458134,474982,669230,707748,450749,499036,530566,460500,531940
5250,456524,572777,445752,576223,481458,451848,459516,458850,451555,447107
5300,471962,566419,448471,450172,464469,464385,642077,454650,453766,584518
5350,465106,500797,453450,513528,483970,461252,557046,473492,448560,467546
5400,475273,471800,464193,505131,457582,461468,473323,487276,469322,502912
5450,476378,477259,469210,472855,491573,481145,478763,613368,674853,511503
5500,470860,465179,480662,491101,473089,594152,485043,550073,524658,605472
5550,698471,492494,581844,475319,493810,579996,490927,496976,719966,547398
5600,602984,508994,647097,498344,505984,635103,576407,728696,543305,511892
5650,514113,496557,484698,499528,495324,715286,696503,519912,497731,562889
5700,486477,503006,702703,571804,518953,509556,515868,500034,694344,607838
5750,507988,595132,491950,498717,570563,511923,489912,501460,602829,534032
5800,552011,527337,529130,524030,528896,493166,558325,507558,506263,538090
5850,671925,519946,605760,772369,634246,520505,741797,552191,506222,507536
5900,571760,501111,772616,580609,536427,567726,576841,516323,521399,512155
5950,679879,524143,511223,690359,715169,722467,762996,783025,523532,530298
6000,712220,519955,517881,764760,531076,615336,523977,583282,521681,544020
6050,783754,519751,719405,557614,533295,531591,545818,538880,744538,546938
6100,677487,524189,581783,538574,545485,529952,565075,837536,754574,534671
6150,621926,528847,531693,602907,565525,697945,536377,595827,711608,581737
6200,550211,681689,778232,537976,548106,686636,571637,550269,813497,668725
6250,706099,700876,550836,566043,563839,544163,648131,554393,659802,555867
6300,672125,814327,551819,538628,759756,551845,586530,556137,574808,902271
6350,572665,640711,715861,573123,655140,572725,563389,578867,549150,729551
6400,653652,669683,569911,631142,569427,559726,695859,592977,555950,572652
6450,563407,608458,586441,568647,579495,823447,652187,584990,559663,573897
6500,580419,601701,830495,587561,597173,583879,595407,640914,789356,603754
6550,585595,717824,580895,572516,807132,581012,574771,602847,834235,597722
6600,583695,857594,622608,567274,628535,708763,605120,785039,652304,588989
6650,577043,786811,665449,612366,591574,772503,678339,611491,742095,591990
6700,585420,850213,574716,726574,619067,807408,664067,598226,590518,604844
6750,611566,598090,588309,595731,718257,774210,608455,881159,598750,661139
6800,633252,610394,606106,759719,743516,810804,606996,657917,599096,605781
6850,659820,603724,601071,664895,629688,732064,611609,890938,601052,853820
6900,682194,736748,623020,794805,948568,770126,607698,633714,649336,651162
6950,633745,621779,622833,785412,652602,772644,630649,615164,617236,625842
7000,844392,705236,687463,787938,617681,726795,638346,629408,706270,628093
7050,666341,879343,640176,883369,738175,765426,630426,628692,608336,619270
7100,632838,617401,683315,632969,646507,745500,654339,649575,626572,664431
7150,631744,644668,833135,626762,684889,818470,726910,639626,621450,635640
7200,666652,997982,749682,636608,684429,864797,674071,857528,645168,679223
7250,668570,816312,746912,670171,656113,770906,654121,1005070,733894,644647
7300,649782,660147,759486,642324,648013,887617,661088,651163,864768,647696
7350,837778,665176,916932,685800,683807,809165,681739,924591,648607,730274
7400,649757,680090,648943,665742,870464,779526,860806,649071,660350,817618
7450,910481,877892,665625,678657,1003026,777279,804519,683380,663228,892874
7500,942639,704829,697478,672213,660494,781291,949276,670584,687708,682712
